doc_id,filename,format,category,sensitivity_level,title,generated
custom_00000,custom_00000.docx,docx,行政通知,L1,关于4月考勤安排的通知,1
custom_00001,custom_00001.docx,docx,公开报告,L1,2023年度企业社会责任报告,1
custom_00002,custom_00002.docx,docx,行政通知,L1,办公区域管理规定,1
custom_00003,custom_00003.docx,docx,行政通知,L1,员工手册更新说明,1
custom_00004,custom_00004.docx,docx,行政通知,L1,假期安排通知,1
custom_00005,custom_00005.docx,docx,行政通知,L1,技术部门培训计划,1
custom_00006,custom_00006.docx,docx,行政通知,L1,关于7月考勤安排的通知,1
custom_00007,custom_00007.docx,docx,行政通知,L1,假期安排通知,1
custom_00008,custom_00008.docx,docx,行政通知,L1,员工手册更新说明,1
custom_00009,custom_00009.docx,docx,公开报告,L1,2024年度企业社会责任报告,1
custom_00010,custom_00010.docx,docx,行政通知,L1,员工手册更新说明,1
custom_00011,custom_00011.docx,docx,行政通知,L1,办公区域管理规定,1
custom_00012,custom_00012.docx,docx,公开报告,L1,技术白皮书：绿色供应链,1
custom_00013,custom_00013.docx,docx,行政通知,L1,关于3月考勤安排的通知,1
custom_00014,custom_00014.docx,docx,公开报告,L1,产品使用手册 v2.5,1
custom_00015,custom_00015.docx,docx,公开报告,L1,技术白皮书：隐私合规实践,1
custom_00016,custom_00016.docx,docx,公开报告,L1,技术白皮书：产品服务能力,1
custom_00017,custom_00017.docx,docx,行政通知,L1,人力部门培训计划,1
custom_00018,custom_00018.docx,docx,公开报告,L1,产品使用手册 v2.5,1
custom_00019,custom_00019.docx,docx,公开报告,L1,技术白皮书：数据安全治理,1
custom_00020,custom_00020.docx,docx,行政通知,L1,关于10月考勤安排的通知,1
custom_00021,custom_00021.docx,docx,公开报告,L1,产品使用手册 v1.6,1
custom_00022,custom_00022.docx,docx,行政通知,L1,关于10月考勤安排的通知,1
custom_00023,custom_00023.docx,docx,公开报告,L1,产品使用手册 v3.7,1
custom_00024,custom_00024.docx,docx,行政通知,L1,办公区域管理规定,1
custom_00025,custom_00025.docx,docx,公开报告,L1,产品使用手册 v3.6,1
custom_00026,custom_00026.docx,docx,行政通知,L1,关于8月考勤安排的通知,1
custom_00027,custom_00027.docx,docx,行政通知,L1,员工手册更新说明,1
custom_00028,custom_00028.docx,docx,行政通知,L1,员工手册更新说明,1
custom_00029,custom_00029.docx,docx,公开报告,L1,2024年度企业社会责任报告,1
custom_00030,custom_00030.docx,docx,公开报告,L1,技术白皮书：产品服务能力,1
custom_00031,custom_00031.docx,docx,公开报告,L1,2024年度企业社会责任报告,1
custom_00032,custom_00032.docx,docx,公开报告,L1,产品使用手册 v2.0,1
custom_00033,custom_00033.docx,docx,行政通知,L1,员工手册更新说明,1
custom_00034,custom_00034.docx,docx,公开报告,L1,产品使用手册 v2.2,1
custom_00035,custom_00035.docx,docx,公开报告,L1,2023年度企业社会责任报告,1
custom_00036,custom_00036.docx,docx,公开报告,L1,产品使用手册 v1.3,1
custom_00037,custom_00037.docx,docx,公开报告,L1,技术白皮书：隐私合规实践,1
